Report Number,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Police Deployed,Latitude,Longitude
120,2020-01-05,07:04,Pune,537,TRAFFIC VIOLATION,70,M,None,3,18.574402,73.76715
121,2020-01-06,12:16,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,10,23.078803,72.69429
122,2020-01-06,22:59,Delhi,321,KIDNAPPING,22,F,Other,19,28.550106,76.952222
123,2020-01-06,00:00,Bhopal,432,VANDALISM,60,F,None,4,23.305147,77.424651
124,2020-01-06,06:56,Ludhiana,129,SEXUAL ASSAULT,44,F,Blunt Object,2,30.895954,75.829123
125,2020-01-06,19:19,Pune,347,FRAUD,30,M,Knife,14,18.556277,73.758627
126,2020-01-06,05:15,Pune,127,ASSAULT,62,F,None,10,18.487887,73.884168
127,2020-01-06,00:44,Surat,117,FIREARM OFFENSE,42,F,None,8,21.140102,72.827195
128,2020-01-06,02:17,Ghaziabad,339,IDENTITY THEFT,73,F,Knife,2,28.703532,77.595133
129,2020-01-06,12:39,Kanpur,374,SHOPLIFTING,25,M,Explosives,15,26.419479,80.360096
130,2020-01-06,14:55,Ghaziabad,111,ROBBERY,33,M,Other,3,28.695765,77.43481
131,2020-01-06,19:26,Agra,331,ARSON,13,F,Poison,19,27.231435,78.00412
132,2020-01-06,06:55,Lucknow,295,IDENTITY THEFT,39,F,Knife,8,26.808413,80.910275
133,2020-01-06,19:17,Bangalore,309,HOMICIDE,18,M,None,2,13.073134,77.619428
134,2020-01-06,00:56,Lucknow,465,ILLEGAL POSSESSION,75,F,Knife,8,26.858653,80.925853
135,2020-01-06,07:26,Delhi,406,VANDALISM,50,F,Other,15,28.667237,76.980774
136,2020-01-06,02:16,Delhi,278,FRAUD,71,F,Other,7,28.577543,76.930351
137,2020-01-06,01:01,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,12,23.056608,72.550239
138,2020-01-06,20:11,Mumbai,445,ASSAULT,12,M,Blunt Object,6,19.095821,72.869706
139,2020-01-06,07:11,Kanpur,465,KIDNAPPING,57,F,Other,2,26.543535,80.431901
140,2020-01-06,01:17,Jaipur,404,CYBERCRIME,47,F,Firearm,16,26.854455,75.833762
141,2020-01-06,14:13,Delhi,270,DOMESTIC VIOLENCE,73,F,Other,14,28.650197,76.855138
142,2020-01-06,06:34,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,4,19.024749,72.934994
143,2020-01-06,12:37,Mumbai,278,ILLEGAL POSSESSION,45,F,None,2,19.155115,72.792913
144,2020-01-06,16:49,Varanasi,487,ASSAULT,79,F,Firearm,14,25.340829,83.00979
145,2020-01-07,03:38,Ludhiana,172,IDENTITY THEFT,17,M,Firearm,10,30.901875,75.830886
146,2020-01-07,16:44,Kolkata,165,PUBLIC INTOXICATION,15,F,Knife,16,22.603962,88.31436
147,2020-01-07,18:49,Meerut,514,CYBERCRIME,44,F,Other,6,28.946021,77.706511
148,2020-01-07,22:27,Bangalore,262,COUNTERFEITING,28,F,Knife,8,12.990943,77.549607
149,2020-01-07,01:09,Agra,558,IDENTITY THEFT,41,F,None,5,27.163889,78.113562
150,2020-01-07,11:19,Patna,157,SHOPLIFTING,46,F,Knife,1,25.64572,85.227784
151,2020-01-07,13:59,Bhopal,241,DRUG OFFENSE,35,F,Blunt Object,3,23.337915,77.427605
152,2020-01-07,16:17,Bangalore,311,ILLEGAL POSSESSION,67,M,None,16,13.037767,77.697808
153,2020-01-07,17:21,Delhi,248,IDENTITY THEFT,23,F,Knife,16,28.614989,76.858326
154,2020-01-07,19:49,Chennai,523,KIDNAPPING,39,F,Other,11,13.037785,80.192806
155,2020-01-07,19:37,Bangalore,238,DOMESTIC VIOLENCE,48,F,Blunt Object,5,13.079944,77.677724
156,2020-01-07,12:05,Pune,109,DOMESTIC VIOLENCE,71,F,Blunt Object,14,18.488531,73.904465
157,2020-01-07,13:48,Hyderabad,448,COUNTERFEITING,32,F,Other,8,17.300031,78.544101
158,2020-01-07,03:32,Ahmedabad,588,HOMICIDE,18,F,Firearm,13,23.073315,72.649862
159,2020-01-07,06:49,Delhi,236,VEHICLE - STOLEN,38,F,Poison,15,28.892078,77.228796
160,2020-01-07,14:26,Kolkata,509,ASSAULT,27,F,Blunt Object,17,22.587406,88.365857
161,2020-01-07,09:21,Meerut,321,COUNTERFEITING,30,F,Knife,13,29.020792,77.615154
162,2020-01-07,17:22,Surat,420,CYBERCRIME,17,F,None,12,21.120029,72.778338
163,2020-01-07,09:50,Pune,589,SHOPLIFTING,39,F,Knife,15,18.577242,73.805466
164,2020-01-07,02:04,Pune,492,ARSON,66,F,Firearm,5,18.535867,73.933826
165,2020-01-07,06:07,Ghaziabad,312,SEXUAL ASSAULT,11,F,Firearm,9,28.75655,77.397977
166,2020-01-07,00:42,Ahmedabad,234,VANDALISM,54,M,Firearm,19,23.057464,72.688481
167,2020-01-07,05:25,Delhi,470,VANDALISM,79,M,Explosives,13,28.770962,77.008006
168,2020-01-07,02:01,Delhi,518,FRAUD,12,F,Firearm,3,28.609399,77.183204
169,2020-01-08,00:14,Lucknow,295,DRUG OFFENSE,19,F,Blunt Object,16,26.883235,80.974198
170,2020-01-08,05:22,Kalyan,342,TRAFFIC VIOLATION,21,F,Knife,8,19.296604,73.129637
171,2020-01-08,18:43,Agra,352,COUNTERFEITING,24,M,None,14,27.19572,78.088466
172,2020-01-08,01:57,Jaipur,305,TRAFFIC VIOLATION,58,M,Poison,4,26.827903,75.763344
173,2020-01-08,13:20,Hyderabad,245,SEXUAL ASSAULT,51,F,Blunt Object,17,17.528878,78.378608
174,2020-01-08,01:34,Indore,438,DRUG OFFENSE,40,F,None,7,22.675563,75.797392
175,2020-01-08,10:27,Surat,144,ROBBERY,64,M,Blunt Object,13,21.163483,72.723289
176,2020-01-08,22:06,Lucknow,292,BURGLARY,66,F,None,14,26.761365,80.927779
177,2020-01-08,02:25,Chennai,134,FIREARM OFFENSE,28,F,Firearm,8,12.964864,80.213076
178,2020-01-08,16:59,Mumbai,331,ILLEGAL POSSESSION,54,F,None,11,18.974408,72.875447
179,2020-01-08,07:31,Agra,191,FRAUD,42,F,Knife,8,27.14551,78.130628
180,2020-01-08,02:31,Pune,584,DOMESTIC VIOLENCE,72,M,Blunt Object,14,18.63905,73.861275
181,2020-01-08,07:34,Bangalore,341,TRAFFIC VIOLATION,23,F,Poison,1,13.048285,77.660873
182,2020-01-08,12:16,Mumbai,541,CYBERCRIME,53,F,Poison,9,18.951162,72.874847
183,2020-01-08,17:18,Ahmedabad,133,SEXUAL ASSAULT,28,F,Firearm,12,23.074921,72.672482
184,2020-01-08,23:28,Hyderabad,422,SEXUAL ASSAULT,27,F,None,4,17.353229,78.490415
185,2020-01-08,17:27,Mumbai,151,FRAUD,67,F,Other,19,18.918941,72.849429
186,2020-01-08,08:32,Bangalore,287,FRAUD,70,F,Other,8,12.983579,77.628566
187,2020-01-08,10:28,Delhi,541,VANDALISM,75,F,Blunt Object,4,28.614355,77.209225
188,2020-01-08,18:53,Nagpur,236,IDENTITY THEFT,66,F,None,14,21.182199,79.010131
189,2020-01-08,03:24,Hyderabad,415,EXTORTION,24,F,Knife,2,17.432177,78.447162
190,2020-01-08,21:24,Chennai,151,CYBERCRIME,44,M,Explosives,15,13.111539,80.269758
191,2020-01-08,15:53,Chennai,268,KIDNAPPING,63,F,Knife,9,13.092849,80.196378
192,2020-01-08,20:39,Delhi,381,IDENTITY THEFT,18,M,Blunt Object,11,28.644675,76.900851
193,2020-01-09,05:28,Ghaziabad,249,PUBLIC INTOXICATION,19,F,None,3,28.601836,77.427509
194,2020-01-09,04:00,Jaipur,389,DOMESTIC VIOLENCE,49,M,None,12,26.800162,75.974688
195,2020-01-09,08:16,Delhi,235,ILLEGAL POSSESSION,33,F,Poison,12,28.626057,76.947092
196,2020-01-09,00:18,Lucknow,562,DOMESTIC VIOLENCE,56,M,Other,4,26.807502,80.970987
197,2020-01-09,15:55,Ahmedabad,287,PUBLIC INTOXICATION,32,M,Explosives,1,23.096309,72.504214
198,2020-01-09,10:20,Hyderabad,316,EXTORTION,25,F,Explosives,10,17.30399,78.467119
199,2020-01-09,21:01,Delhi,367,ARSON,62,F,Firearm,3,28.848739,77.269004
200,2020-01-09,02:06,Nashik,471,HOMICIDE,56,F,Blunt Object,4,20.018075,73.783427
201,2020-01-09,04:27,Srinagar,365,COUNTERFEITING,27,F,Blunt Object,8,34.067574,74.933416
202,2020-01-09,18:52,Nagpur,484,FRAUD,63,M,Explosives,13,21.239816,79.03995
203,2020-01-09,12:58,Mumbai,257,DRUG OFFENSE,34,F,Blunt Object,2,19.111664,72.919628
204,2020-01-09,13:00,Lucknow,427,KIDNAPPING,16,F,Firearm,5,26.847966,81.022825
205,2020-01-09,02:34,Hyderabad,340,SHOPLIFTING,59,F,Other,13,17.472652,78.508845
206,2020-01-09,23:51,Thane,246,VEHICLE - STOLEN,44,F,None,7,19.106115,73.128976
207,2020-01-09,12:37,Bangalore,376,COUNTERFEITING,21,F,Blunt Object,3,13.001221,77.693579
208,2020-01-09,20:15,Patna,542,ASSAULT,59,M,None,2,25.567582,85.053705
209,2020-01-09,17:29,Hyderabad,257,EXTORTION,41,F,Explosives,17,17.516959,78.581687
210,2020-01-09,06:07,Kolkata,573,PUBLIC INTOXICATION,43,F,Knife,18,22.609105,88.324892
211,2020-01-09,20:05,Bhopal,148,COUNTERFEITING,15,M,Explosives,6,23.28714,77.491514
212,2020-01-09,14:15,Delhi,439,FIREARM OFFENSE,34,M,Blunt Object,17,28.837454,76.930342
213,2020-01-09,07:00,Kolkata,598,IDENTITY THEFT,19,F,Firearm,6,22.591042,88.405078
214,2020-01-09,02:45,Bangalore,239,VEHICLE - STOLEN,73,M,Explosives,13,12.908448,77.565549
215,2020-01-09,00:56,Delhi,267,SEXUAL ASSAULT,44,M,Explosives,1,28.832367,77.105681
216,2020-01-09,09:23,Ahmedabad,163,SHOPLIFTING,14,F,Knife,18,23.044658,72.570589
217,2020-01-10,05:32,Kolkata,572,COUNTERFEITING,73,M,None,2,22.596703,88.487848
218,2020-01-10,23:36,Surat,561,FRAUD,49,F,Other,18,21.161309,72.847196
219,2020-01-10,08:44,Pune,336,TRAFFIC VIOLATION,61,M,Other,10,18.450845,73.757907
220,2020-01-10,17:27,Nagpur,563,BURGLARY,68,F,Knife,18,21.231586,79.009863
221,2020-01-10,03:16,Kolkata,218,VEHICLE - STOLEN,24,F,None,1,22.668248,88.390078
222,2020-01-10,05:29,Ludhiana,276,KIDNAPPING,69,F,Poison,7,30.947422,75.873626
223,2020-01-10,19:37,Bangalore,570,FRAUD,55,F,Poison,11,12.973213,77.521617
224,2020-01-10,23:31,Chennai,307,ROBBERY,49,F,Knife,19,13.068159,80.187144
225,2020-01-10,00:10,Bangalore,153,CYBERCRIME,40,F,Firearm,5,13.011104,77.684812
226,2020-01-10,15:46,Surat,340,HOMICIDE,51,F,Explosives,8,21.155294,72.717895
227,2020-01-10,23:35,Mumbai,365,VANDALISM,35,F,Poison,15,19.126053,72.77793
228,2020-01-10,01:56,Pune,269,COUNTERFEITING,65,F,Blunt Object,6,18.589242,73.762892
229,2020-01-10,04:03,Jaipur,247,VEHICLE - STOLEN,61,F,Other,18,26.982827,75.840722
230,2020-01-10,08:27,Ahmedabad,190,VANDALISM,35,M,Poison,8,23.096489,72.530421
231,2020-01-10,22:47,Pune,429,IDENTITY THEFT,45,M,Blunt Object,1,18.523512,73.836718
232,2020-01-10,04:38,Patna,547,ARSON,32,F,None,12,25.600661,85.205177
233,2020-01-10,19:09,Mumbai,136,HOMICIDE,11,F,Other,9,19.020298,72.761681
234,2020-01-10,03:46,Kolkata,254,ASSAULT,40,M,Poison,14,22.560443,88.344533
235,2020-01-10,20:30,Mumbai,514,TRAFFIC VIOLATION,23,F,Firearm,19,19.038036,72.85246
236,2020-01-10,22:34,Ludhiana,105,ARSON,14,M,Poison,12,30.88099,75.828989
237,2020-01-10,06:53,Visakhapatnam,561,CYBERCRIME,23,M,Other,7,17.659667,83.205423
238,2020-01-10,04:23,Chennai,583,CYBERCRIME,35,M,Knife,4,13.01382,80.250081
239,2020-01-10,10:13,Delhi,418,FIREARM OFFENSE,65,M,Knife,15,28.703807,76.984985
240,2020-01-10,11:41,Hyderabad,466,FIREARM OFFENSE,51,F,Knife,13,17.524343,78.553275
241,2020-01-11,00:34,Mumbai,402,COUNTERFEITING,35,F,Other,17,18.949641,72.868918
242,2020-01-11,03:03,Bangalore,188,VANDALISM,59,F,Blunt Object,1,13.003381,77.665843
243,2020-01-11,11:51,Pune,512,FRAUD,48,F,Knife,4,18.557067,73.81515
244,2020-01-11,10:11,Kalyan,388,SEXUAL ASSAULT,18,F,Poison,19,19.221517,73.167889
245,2020-01-11,14:49,Nagpur,423,ROBBERY,58,F,Firearm,17,21.070773,79.116154
246,2020-01-11,17:14,Kolkata,399,ILLEGAL POSSESSION,65,F,Knife,7,22.506394,88.343634
247,2020-01-11,08:58,Nagpur,432,EXTORTION,38,F,Blunt Object,6,21.054465,79.165366
248,2020-01-11,20:32,Ahmedabad,262,IDENTITY THEFT,77,F,Explosives,13,23.06448,72.677433
249,2020-01-11,07:14,Thane,293,DOMESTIC VIOLENCE,70,F,Explosives,8,19.152253,72.993265
250,2020-01-11,21:57,Nagpur,164,EXTORTION,11,F,Other,17,21.233919,79.174977
251,2020-01-11,02:39,Delhi,342,FIREARM OFFENSE,45,F,Other,13,28.690699,77.156068
252,2020-01-11,15:11,Thane,182,SHOPLIFTING,71,F,Firearm,3,19.24594,73.033974
253,2020-01-11,01:17,Hyderabad,362,TRAFFIC VIOLATION,11,M,Other,10,17.419979,78.411992
254,2020-01-11,15:04,Nashik,123,ILLEGAL POSSESSION,39,M,None,3,20.014996,73.702645
255,2020-01-11,21:38,Meerut,233,FIREARM OFFENSE,68,M,Explosives,18,28.963216,77.688142
256,2020-01-11,06:45,Kolkata,581,PUBLIC INTOXICATION,76,M,Explosives,9,22.685317,88.357116
257,2020-01-11,00:13,Hyderabad,230,EXTORTION,47,M,Blunt Object,4,17.438058,78.576292
258,2020-01-11,17:21,Ahmedabad,402,IDENTITY THEFT,22,F,Other,18,23.087759,72.571653
259,2020-01-11,22:11,Mumbai,151,EXTORTION,33,M,Poison,8,19.021876,72.822008
260,2020-01-11,08:18,Indore,366,KIDNAPPING,55,F,Firearm,11,22.678073,75.943553
261,2020-01-11,01:13,Chennai,542,BURGLARY,11,F,None,7,13.04246,80.297886
262,2020-01-11,07:49,Ghaziabad,145,COUNTERFEITING,49,M,Blunt Object,13,28.607551,77.568631
263,2020-01-11,08:50,Kolkata,142,IDENTITY THEFT,56,F,Poison,12,22.553684,88.425985
264,2020-01-11,22:04,Kanpur,261,SEXUAL ASSAULT,69,F,Knife,11,26.55475,80.337891
265,2020-01-12,19:08,Visakhapatnam,152,COUNTERFEITING,79,F,Blunt Object,14,17.790772,83.334162
266,2020-01-12,03:39,Chennai,430,IDENTITY THEFT,17,F,Explosives,19,12.987208,80.259259
267,2020-01-12,08:13,Nagpur,203,ILLEGAL POSSESSION,71,F,Explosives,6,21.156509,79.1451
268,2020-01-12,23:31,Kanpur,508,KIDNAPPING,16,F,Knife,8,26.517057,80.218521
269,2020-01-12,08:35,Surat,590,ROBBERY,71,M,Other,10,21.169762,72.831657
270,2020-01-12,07:42,Srinagar,491,SHOPLIFTING,50,M,Explosives,11,34.008177,74.811574
